"id";"imdb_link";"title";"description";"imdb_score";"genre";"imdb_movie_poster"
112364;"http://www.imdb.com/title/tt112364";"Angela (1995)";"";6.4;"Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1OTIyODc1MF5BMl5BanBnXkFtZTcwNzUxMjkzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
112384;"http://www.imdb.com/title/tt112384";"Apollo 13 (1995)";"";7.6;"Adventure|Drama|History";"https://images-na.ssl-images-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
112401;"http://www.imdb.com/title/tt112401";"Assassins (1995)";"";6.3;"Action|Crime|Thriller";"https://images-na.ssl-images-amazon.com/images/M/MV5BMGY2OWI5ZjQtYjY0Zi00Y2M4LWEwMmMtOTJhODYxYTExNWZlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
112427;"http://www.imdb.com/title/tt112427";"An Awfully Big Adventure (1995)";"";6.0;"Comedy|Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NzUwMzM1NF5BMl5BanBnXkFtZTcwNDc5ODgyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112431;"http://www.imdb.com/title/tt112431";"Babe (1995)";"";6.8;"Comedy|Drama|Family";"https://images-na.ssl-images-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
112438;"http://www.imdb.com/title/tt112438";"The Babysitter (1995)";"";4.2;"Drama|Thriller";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NjgxOTI5M15BMl5BanBnXkFtZTcwNDYyNDk5MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112442;"http://www.imdb.com/title/tt112442";"Bad Boys (1995)";"";6.8;"Action|Comedy|Crime";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NDk1NTU5NF5BMl5BanBnXkFtZTcwMjE2NDU2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112453;"http://www.imdb.com/title/tt112453";"Balto (1995)";"";7.1;"Animation|Adventure|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
112461;"http://www.imdb.com/title/tt112461";"The Basketball Diaries (1995)";"";7.3;"Biography|Crime|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjdlNzQxZGUtZTg5YS00ODg2LTkxMzctMDAyNmEwM2YyZjA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
112462;"http://www.imdb.com/title/tt112462";"Batman Forever (1995)";"";5.4;"Action|Adventure|Fantasy";"https://images-na.ssl-images-amazon.com/images/M/MV5BNWY3M2I0YzItNzA1ZS00MzE3LThlYTEtMTg2YjNiOTYzODQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
